madb_1_title,madb_1_ruby,madb_2_title,madb_2_ruby,animedb_title,animedb_ruby,madb_id,madb_uri
飽くまで斗え,アクマデタタカエ,飽くまで斗え,アクマデタタカエ,飽くまで斗え,アクマデタタカエ,ANS002016000,http://mediaarts-db.jp/an/anime_series/16596
協同の力,キョウドウノチカラ,協同の力,キョウドウノチカラ,協同の力,キョウドウノチカラ,ANS002015600,http://mediaarts-db.jp/an/anime_series/16588
菌軍征服,キングンセイフク,菌軍征服,キングンセイフク,菌軍征服,キングンセイフク,ANS002016100,http://mediaarts-db.jp/an/anime_series/16598
七つの夢,ナナツノユメ,七つの夢,ナナツノユメ,七つの夢,ナナツノユメ,ANS002016200,http://mediaarts-db.jp/an/anime_series/16600
大和魂,ヤマトダマシイ,大和魂,ヤマトダマシイ,大和魂,ヤマトダマシイ,ANS002015900,http://mediaarts-db.jp/an/anime_series/16594
お江戸の春,オエドノハル,お江戸の春,オエドノハル,お江戸の春,オエドノハル,ANS000692800,http://mediaarts-db.jp/an/anime_series/12024
珍説 吉田御殿（改題/武者修行物語）,チンセツ　ヨシダゴデン　ムシャシュギョウモノガタリ,珍説 吉田御殿（改題/武者修行物語）,チンセツ　ヨシダゴデン　ムシャシュギョウモノガタリ,珍説吉田御殿,チンセツ ヨシダゴデン,ANS000003500,http://mediaarts-db.jp/an/anime_series/49
文福茶釜,ブンブクチャガマ,文福茶釜,ブンブクチャガマ,文福茶釜,ブンブクチャガマ,ANS000692900,http://mediaarts-db.jp/an/anime_series/12026
孫悟空,ソンゴクウ,孫悟空,ソンゴクウ,孫悟空,ソンゴクウ,ANS000693300,http://mediaarts-db.jp/an/anime_series/12034
漫画 花咲爺,マンガハナサカジジイ,漫画 花咲爺,マンガハナサカジジイ,漫画 花咲爺,マンガ ハナサカジジイ,ANS000001100,http://mediaarts-db.jp/an/anime_series/15
出世忍者術 松之助再来,シュッセニンジャジュツ　マツノスケサイライ,出世忍者術 松之助再来,シュッセニンジャジュツ　マツノスケサイライ,出世忍者術 松之助再来,シュッセニンジャジュツ マツノスケサイライ,ANS000003600,http://mediaarts-db.jp/an/anime_series/51
四十人の盗賊,ヨンジュウニンノトウゾク,四十人の盗賊,ヨンジュウニンノトウゾク,四十人の盗賊,ヨンジュウニンノトウゾク,ANS000003700,http://mediaarts-db.jp/an/anime_series/53
動物オリムピック大会,ドウブツオリンピック,動物オリムピック大会,ドウブツオリンピック,動物オリムピック大会,ドウブツオリンピック,ANS000693000,http://mediaarts-db.jp/an/anime_series/12028
お伽噺 日本一 桃太郎,オトギバナシ　ニホンイチ　モモタロウ,お伽噺 日本一 桃太郎,オトギバナシ　ニホンイチ　モモタロウ,お伽噺 日本一 桃太郎,オトギバナシ ニホンイチ モモタロウ,ANS000002100,http://mediaarts-db.jp/an/anime_series/29
或る夏の夜の川端,アルナツノヨルノカワバタ,或る夏の夜の川端,アルナツノヨルノカワバタ,或る夏の夜の川端,アルナツノヨルノカワバタ,ANS002016700,http://mediaarts-db.jp/an/anime_series/16610
吃驚仰天真珠大王,ビックリギョウテンシンジュダイオウ,吃驚仰天真珠大王,ビックリギョウテンシンジュダイオウ,吃驚仰天真珠大王,ビックリギョウテンシンジュダイオウ,ANS000693200,http://mediaarts-db.jp/an/anime_series/12032
御国の為に,オクニノタメニ,御国の為に,オクニノタメニ,御国の為に,オクニノタメニ,ANS000881400,http://mediaarts-db.jp/an/anime_series/14078
普選漫史特別議会,フセンマンシトクベツギカイ,普選漫史特別議会,フセンマンシトクベツギカイ,普選漫史特別議会,フセンマンシトクベツギカイ,ANS002017300,http://mediaarts-db.jp/an/anime_series/16622
一寸法師,イッスンボウシ,一寸法師,イッスンボウシ,一寸法師,イッスンボウシ,ANS002016500,http://mediaarts-db.jp/an/anime_series/16606
舌切り雀,シタキリスズメ,舌切り雀,シタキリスズメ,舌切り雀,シタキリスズメ,ANS002016400,http://mediaarts-db.jp/an/anime_series/16604
太平洋横断飛行,タイヘイヨウオウダンヒコウ,太平洋横断飛行,タイヘイヨウオウダンヒコウ,太平洋横断飛行,タイヘイヨウオウダンヒコウ,ANS002017200,http://mediaarts-db.jp/an/anime_series/16620
弥次喜多旅日記,ヤジキタタビニッキ,弥次喜多旅日記,ヤジキタタビニッキ,弥次喜多旅日記,ヤジキタタビニッキ,ANS002016800,http://mediaarts-db.jp/an/anime_series/16612
きりぬき浦島,キリヌキウラシマ,きりぬき浦島,キリヌキウラシマ,きりぬき浦島,キリヌキウラシマ,ANS000693100,http://mediaarts-db.jp/an/anime_series/12030
日の丸は輝く,ヒノマルハカガヤク,日の丸は輝く,ヒノマルハカガヤク,日の丸は輝く,ヒノマルハカガヤク,ANS002017100,http://mediaarts-db.jp/an/anime_series/16618
鬼の住む島,オニノスムシマ,鬼の住む島,オニノスムシマ,鬼の住む島,オニノスムシマ,ANS002017000,http://mediaarts-db.jp/an/anime_series/16616
牛若と弁慶,ウシワカトベンケイ,牛若と弁慶,ウシワカトベンケイ,牛若と弁慶,ウシワカトベンケイ,ANS002017400,http://mediaarts-db.jp/an/anime_series/16624
己を衛れ,オノレヲマモレ,己を衛れ,オノレヲマモレ,己を衛れ,オノレヲマモレ,ANS002016900,http://mediaarts-db.jp/an/anime_series/16614
魚の國,サカナノクニ,魚の國,サカナノクニ,魚の國,サカナノクニ,ANS002013000,http://mediaarts-db.jp/an/anime_series/16538
星,ホシ,星,ホシ,星,ホシ,ANS002016600,http://mediaarts-db.jp/an/anime_series/16608
蛙は蛙,カエルハカエル,蛙は蛙,カエルハカエル,蛙は蛙,カエルハカエル,ANS000693400,http://mediaarts-db.jp/an/anime_series/12036
アルキメデスと黄金の王冠,アルキメデストオウゴンノオウカン,アルキメデスと黄金の王冠,アルキメデストオウゴンノオウカン,アルキメデスと黄金の王冠,アルキメデストオウゴンノオウカン,ANS000693500,http://mediaarts-db.jp/an/anime_series/12038
黄金の花,コガネノハナ,黄金の花,コガネノハナ,黄金の花,コガネノハナ,ANS000693600,http://mediaarts-db.jp/an/anime_series/12040
太郎さんの汽車,タロウサンノキシャ,太郎さんの汽車,タロウサンノキシャ,太郎さんの汽車,タロウサンノキシャ,ANS000693700,http://mediaarts-db.jp/an/anime_series/12042
瘤取り,コブトリ,瘤取り,コブトリ,瘤取り,コブトリ,ANS000002300,http://mediaarts-db.jp/an/anime_series/31
衛生かるた （保健イロハカルタ）,エイセイカルタ　（ホケンイロハカルタ）,衛生かるた （保健イロハカルタ）,エイセイカルタ　（ホケンイロハカルタ）,衛生かるた （保健イロハカルタ）,エイセイカルタ ホケンイロハカルタ,ANS002019100,http://mediaarts-db.jp/an/anime_series/16656
衛生かるた （保健イロハカルタ）,エイセイカルタ　（ホケンイロハカルタ）,,,衛生かるた （保健イロハカルタ）,エイセイカルタ ホケンイロハカルタ,ANS002019200,http://mediaarts-db.jp/an/anime_series/16658
太郎と白・毛生え薬の巻,タロウトシロ・ケハエクスリノマキ,太郎と白・毛生え薬の巻,タロウトシロ・ケハエクスリノマキ,太郎と白・毛生え薬の巻,タロウトシロ ケハエクスリノマキ,ANS002020100,http://mediaarts-db.jp/an/anime_series/16676
豹の斑はどうして出来た,ヒョウノマダラハドウシテデキタ,豹の斑はどうして出来た,ヒョウノマダラハドウシテデキタ,豹の斑はどうして出来た,ヒョウノマダラハドウシテデキタ,ANS002017900,http://mediaarts-db.jp/an/anime_series/16632
ジラフの首はなぜ長い,ジラフノクビハナゼナガイ,ジラフの首はなぜ長い,ジラフノクビハナゼナガイ,ジラフの首はなぜ長い,ジラフノクビハナゼナガイ,ANS002005800,http://mediaarts-db.jp/an/anime_series/16408
